Symbol,Company Name,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
FLWS,1-800-Flowers.Com Inc,-69.57%,10.71%,4.08%,3.32%,0.00%,0.00%
VCXA,10X Capital Venture Acquisition II Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
VCXB,10X Capital Venture Acquisition III Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,10X Genomics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
YI,111 Inc - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
YQ,17 Education & Technology Group Inc-ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
TURN,180 Degree Capital Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ATNF,180 Life Sciences Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
EFSH,1847 Holdings LLC,0.00%,0.00%,0.00%,0.00%,20.89%,0.00%
BCOW,1895 Bancorp of Wisconsin Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ONEM,1life Healthcare Inc,-15.24%,8.99%,72.03%,27.85%,0.00%,0.00%
FISB,1St Capital Bancorp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FSGB,1st FSB of SC Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SRCE,1st Source Corporation,-3.19%,0.00%,2.77%,5.18%,2.61%,10.94%
DIBS,1Stdibs.Com Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
XXII,22nd Century Group Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ME^K10,23andMe Holding Co.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADER,26 Capital Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
TSVT,2Seventy Bio Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
TWOU,2U Inc,48.44%,93.94%,3.73%,4.72%,0.00%,0.00%
QFIN,360 DigiTech Inc,0.00%,0.00%,0.00%,0.00%,5.85%,0.00%
SCWO,374Water Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
DDD,3D Systems Corporation,0.00%,90.00%,-8.76%,8.40%,0.00%,0.00%
DDDX,3DX Industries Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
MMM,3M Co,2.47%,4.82%,-1.09%,2.08%,3.98%,5.92%
FDMT,4D Molecular Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FVAM,5:01 Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FEAM,5E Advanced Materials Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SVNA,7 Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
VII,7GC & Holdings Co Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,808 Renewable Energy Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ETNB,89bio Inc,13.84%,8.81%,0.00%,0.00%,0.00%,0.00%
LAX,8i Acquisition 2 Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
EGHT,"8x8, Inc.",237.50%,29.63%,18.55%,8.92%,0.00%,0.00%
NMTR,9 Meters Biopharma Inc,-6.67%,-6.25%,0.00%,0.00%,0.00%,0.00%
MASS,908 Devices Inc.,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
JFU,9F Inc - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AOS,A O Smith Corp,15.56%,5.44%,12.84%,1.27%,1.79%,17.17%
,A P MOELLER MAERSK A S SHS B,69.02%,-54.95%,31.36%,-19.20%,12.66%,78.26%
ASCA,A SPAC I Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ASCB,A SPAC II Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,A-Mark Precious Metals Inc,-39.53%,-10.58%,8.03%,6.42%,0.00%,0.00%
ATEN,A10 Networks Inc,9.52%,17.39%,10.95%,9.96%,1.29%,0.00%
AADI,Aadi Bioscience Inc,75.75%,7.64%,"1,106.25%",51.22%,0.00%,0.00%
AAON,"AAON, Inc.",37.93%,48.13%,57.22%,13.20%,0.62%,9.63%
AAPJ,Aap 101 Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIR,AAR Corp.,25.21%,17.79%,5.50%,6.71%,0.00%,0.00%
AAN,Aaron's Company Inc,-50.13%,2.14%,21.72%,6.88%,3.09%,0.00%
ABQQ,Ab International Group Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ABTO,AB&T Financial Corporation,0.00%,0.00%,0.00%,0.00%,0.78%,0.00%
ABB,ABB Ltd (ADR),3.42%,9.27%,2.13%,4.84%,2.87%,3.67%
ABT,Abbott Laboratories,-3.26%,-7.14%,-1.32%,-4.82%,1.70%,11.60%
ABBV,AbbVie Inc,17.24%,-14.20%,5.04%,-5.99%,3.97%,17.93%
ABCM,Abcam PLC (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ABCL,AbCellera Biologics Inc,12.50%,0.00%,22.95%,-67.44%,0.00%,0.00%
ABCE,ABCO Energy Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ABEO,Abeona Therapeutics Inc,79.77%,30.97%,-56.67%,588.46%,0.00%,0.00%
