Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
FLWS,1-800-Flowers.Com Inc,10.85x,0.54274,0.31x,1.29x,6.11x,23.85x,12.61%,5.83%
VCXA,10X Capital Venture Acquisition II Corp,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-3.41%
VCXB,10X Capital Venture Acquisition III Corp,--,,0.00x,1.42x,0.00x,0.00x,0.00%,0.00%
,10X Genomics Inc,--,,10.69x,6.82x,0.00x,0.00x,-18.17%,-14.40%
YI,111 Inc - ADR,--,,0.10x,0.00x,0.00x,25.05x,0.00%,-18.14%
YQ,17 Education & Technology Group Inc-ADR,--,,0.29x,0.81x,0.00x,0.00x,-71.25%,-40.44%
TURN,180 Degree Capital Corp,4.53x,,23.12x,0.58x,4.52x,0.00x,13.78%,13.28%
ATNF,180 Life Sciences Corp,--,,0.00x,0.92x,0.00x,3.37x,-8.06%,-4.28%
EFSH,1847 Holdings LLC,--,,0.43x,0.00x,0.00x,95.54x,0.00%,-10.04%
BCOW,1895 Bancorp of Wisconsin Inc,--,,3.93x,0.74x,92.43x,0.00x,-0.67%,-0.09%
ONEM,1life Healthcare Inc,--,,3.72x,2.04x,0.00x,16.06x,-34.21%,-19.56%
FISB,1St Capital Bancorp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
FSGB,1st FSB of SC Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
SRCE,1st Source Corporation,10.38x,,3.51x,1.40x,8.84x,0.00x,13.20%,1.49%
DIBS,1Stdibs.Com Inc,--,,2.42x,1.63x,0.00x,0.00x,-13.08%,-10.23%
XXII,22nd Century Group Inc,--,,11.84x,5.19x,0.00x,0.00x,-66.08%,-57.86%
ME^K10,23andMe Holding Co.,--,,7.34x,2.17x,0.00x,0.00x,0.00%,0.00%
ADER,26 Capital Acquisition Corp,55.71x,,0.00x,1.35x,0.00x,0.59x,3.04%,2.73%
TSVT,2Seventy Bio Inc,--,,0.00x,1.45x,0.00x,0.00x,0.00%,0.00%
TWOU,2U Inc,--,,0.74x,1.18x,0.00x,60.50x,-41.50%,-15.48%
QFIN,360 DigiTech Inc,2.73x,,0.85x,0.91x,0.00x,3.50x,41.48%,17.90%
SCWO,374Water Inc,--,,293.67x,37.53x,0.00x,0.00x,-37.41%,-34.29%
DDD,3D Systems Corporation,6.51x,,2.66x,1.97x,5.89x,36.53x,36.27%,20.66%
DDDX,3DX Industries Inc,--,,15.30x,0.00x,0.00x,0.00x,0.00%,-85.16%
MMM,3M Co,20.89x,31.41612,2.43x,6.19x,14.05x,54.09x,29.44%,8.84%
FDMT,4D Molecular Therapeutics Inc,--,,19.93x,1.16x,0.00x,0.00x,-30.18%,-27.31%
FVAM,5:01 Acquisition Corp,--,,0.00x,1.34x,0.00x,1.24x,-1.48%,-1.42%
FEAM,5E Advanced Materials Inc,--,,0.00x,9.83x,0.00x,0.25x,0.00%,0.00%
SVNA,7 Acquisition Corp,--,,0.00x,1.30x,0.00x,0.00x,0.00%,0.00%
VII,7GC & Holdings Co Inc,39.26x,,0.00x,1.32x,0.00x,0.00x,3.41%,3.14%
,808 Renewable Energy Corp,--,,0.00x,0.00x,0.00x,109.29x,0.00%,0.00%
ETNB,89bio Inc,--,,0.00x,0.83x,0.00x,15.93x,-68.89%,-60.35%
LAX,8i Acquisition 2 Corp,--,,0.00x,1.28x,0.00x,0.95x,0.00%,0.00%
EGHT,"8x8, Inc.",--,,0.93x,4.69x,0.00x,78.74x,-108.52%,-20.13%
NMTR,9 Meters Biopharma Inc,--,,0.00x,2.21x,0.00x,0.00x,-131.37%,-107.46%
MASS,908 Devices Inc.,--,,12.81x,3.06x,0.00x,6.94x,-15.96%,-12.66%
JFU,9F Inc - ADR,--,,1.46x,0.26x,0.00x,0.00x,-5.66%,-4.38%
AOS,A O Smith Corp,18.97x,2.37064,2.47x,5.43x,16.03x,14.27x,28.66%,16.01%
,A P MOELLER MAERSK A S SHS B,2.02x,0.02228,0.71x,1.03x,1.64x,22.78x,62.72%,38.44%
ASCA,A SPAC I Acquisition Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ASCB,A SPAC II Acquisition Corp,--,,0.00x,10292.81x,0.00x,91.01x,0.00%,0.00%
,A-Mark Precious Metals Inc,5.81x,,0.10x,1.83x,4.52x,58.15x,38.97%,11.37%
ATEN,A10 Networks Inc,11.97x,,4.39x,5.99x,10.73x,0.00x,64.13%,30.08%
AADI,Aadi Bioscience Inc,--,,84.82x,2.33x,0.00x,0.00x,-146.04%,-130.26%
AAON,"AAON, Inc.",59.35x,,4.91x,6.67x,37.42x,18.68x,12.76%,8.71%
AAPJ,Aap 101 Inc,--,,3.71x,0.00x,0.00x,0.00x,-238.20%,-164.28%
AIR,AAR Corp.,21.51x,1.28464,0.91x,1.60x,14.80x,8.73x,7.76%,5.04%
AAN,Aaron's Company Inc,8.21x,,0.22x,0.61x,0.76x,30.11x,7.82%,3.45%
ABQQ,Ab International Group Corp,--,,0.81x,0.35x,14.14x,0.00x,-62.32%,-46.31%
ABTO,AB&T Financial Corporation,--,,0.18x,0.09x,0.00x,0.00x,-19.75%,-1.41%
ABB,ABB Ltd (ADR),13.94x,,2.05x,4.70x,11.18x,38.46x,33.12%,11.34%
ABT,Abbott Laboratories,22.92x,2.04058,4.24x,5.29x,16.19x,31.34x,24.34%,11.60%
ABBV,AbbVie Inc,19.93x,5.43649,4.35x,17.01x,11.92x,83.24x,92.34%,8.69%
ABCM,Abcam PLC (ADR),732.07x,,8.82x,4.35x,60.77x,25.93x,0.61%,0.43%
ABCL,AbCellera Biologics Inc,20.41x,,7.76x,3.14x,17.25x,0.00x,18.92%,15.06%
ABCE,ABCO Energy Inc,--,,1.37x,0.00x,0.00x,0.00x,0.00%,-120.76%
ABEO,Abeona Therapeutics Inc,--,,7.30x,0.78x,0.00x,0.00x,-142.61%,-91.27%
ANF,Abercrombie & Fitch Co.,5.79x,-2.68724,0.25x,1.37x,2.69x,30.13x,25.03%,7.49%
ABGI,ABG Acquisition I Corp,--,,0.00x,1.31x,0.00x,0.00x,-0.60%,-0.58%
ABMD,"ABIOMED, Inc.",61.92x,,12.62x,8.70x,54.34x,0.00x,15.30%,13.76%
ABM,"ABM Industries, Inc.",21.30x,,0.43x,1.82x,12.33x,41.16x,8.89%,3.47%
AXAS,Abraxas Petroleum Corp.,0.78x,,0.18x,0.22x,0.44x,3.86x,0.00%,17.80%
FAX,abrdn Asia Pacific Income Fund,--,,9.42x,0.79x,0.00x,34.14x,-16.75%,-11.18%
IAF,abrdn Australia Equity Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AEF^F14,abrdn Emerging Markets Eqty Incm Fd Inc,--,,19.61x,0.64x,0.00x,11.08x,-1.93%,-1.71%
AGD,Abrdn Global Dynamic Dividend Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
FCO,abrdn Global Income Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AWP,Abrdn Global Premier Properties Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ACP,abrdn Income Credit Strategies Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
JEQ,abrdn Japan Equity Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ASGI,abrdn Standard Globl Infrstrctr Incm Fnd,7.63x,,9.46x,0.83x,0.00x,0.00x,11.22%,11.20%
