Symbol,Company Name,Thomson Reuters,Argus Analyst,Argus A6 Quantitative,Market Edge,Morgan Stanley,SmartConsensus,Thomson Reuters Consensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment
FLWS,1-800-Flowers.Com Inc,Negative,--,,Long,--,Sell,2.2,Moderate Buy,Bullish
VCXA,10X Capital Venture Acquisition II Corp,--,--,,NC,--,,0.0,,
VCXB,10X Capital Venture Acquisition III Corp,--,--,,NC,--,,0.0,,
,10X Genomics Inc,Neutral,--,,NC,Overweight,,2.2,Moderate Buy,N/A
YI,111 Inc - ADR,Negative,--,,NC,--,,1.0,N/A,Bullish
YQ,17 Education & Technology Group Inc-ADR,--,--,,NC,Underweight,,4.0,,
TURN,180 Degree Capital Corp,Neutral,--,,NC,--,Drop,0.0,,
ATNF,180 Life Sciences Corp,Negative,--,,NC,--,,3.0,Hold,N/A
EFSH,1847 Holdings LLC,--,--,,NC,--,,0.0,,
BCOW,1895 Bancorp of Wisconsin Inc,Negative,--,,NC,--,,0.0,,
ONEM,1life Healthcare Inc,Neutral,--,,NC,--,,2.8,Hold,N/A
FISB,1St Capital Bancorp,--,--,,NC,--,,0.0,,
FSGB,1st FSB of SC Inc,--,--,,NC,--,,0.0,,
SRCE,1st Source Corporation,Positive,--,,Long,--,Hold,2.7,N/A,Bullish
DIBS,1Stdibs.Com Inc,Neutral,--,,NC,--,,2.5,Hold,Bearish
XXII,22nd Century Group Inc,Neutral,--,,NC,--,,2.0,Strong Buy,Bullish
ME^K10,23andMe Holding Co.,Neutral,--,,NC,--,,2.5,Moderate Buy,Bullish
ADER,26 Capital Acquisition Corp,Neutral,--,,NC,--,,0.0,,
TSVT,2Seventy Bio Inc,Negative,--,,NC,Overweight,,1.5,Strong Buy,N/A
TWOU,2U Inc,Negative,--,,Neutral From Long,Equalweight,Sell,2.2,Moderate Buy,Bullish
QFIN,360 DigiTech Inc,Neutral,--,,NC,Overweight,,1.3,Moderate Buy,Bullish
SCWO,374Water Inc,--,--,,NC,--,,0.0,,
DDD,3D Systems Corporation,Neutral,--,SELL,Long,--,Sell,3.1,Moderate Sell,Bullish
DDDX,3DX Industries Inc,--,--,,NC,--,,0.0,,
MMM,3M Co,Neutral,Hold,BUY,Long,Underweight,Hold,3.3,Moderate Sell,Bullish
FDMT,4D Molecular Therapeutics Inc,Neutral,--,,NC,--,,1.6,Moderate Buy,N/A
FVAM,5:01 Acquisition Corp,--,--,,NC,--,,0.0,,
FEAM,5E Advanced Materials Inc,--,--,,NC,--,,1.5,Moderate Buy,Bullish
SVNA,7 Acquisition Corp,--,--,,NC,--,,0.0,,
VII,7GC & Holdings Co Inc,Neutral,--,,NC,--,,0.0,,
,808 Renewable Energy Corp,--,--,,NC,--,,0.0,,
ETNB,89bio Inc,Negative,--,,NC,--,,1.4,Strong Buy,N/A
LAX,8i Acquisition 2 Corp,--,--,,NC,--,,0.0,,
EGHT,"8x8, Inc.",Negative,--,SELL,Neutral From Avoid,Equalweight,Sell,2.5,Hold,Bullish
NMTR,9 Meters Biopharma Inc,Negative,--,,NC,--,,1.8,Strong Buy,N/A
MASS,908 Devices Inc.,Negative,--,,NC,--,,1.3,Moderate Buy,N/A
JFU,9F Inc - ADR,--,--,,NC,--,,3.0,,
AOS,A O Smith Corp,Positive,--,BUY,Long,--,Hold,2.6,Moderate Buy,Bullish
,A P MOELLER MAERSK A S SHS B,--,--,,NC,Overweight,,3.0,,
ASCA,A SPAC I Acquisition Corp,--,--,,NC,--,,0.0,,
ASCB,A SPAC II Acquisition Corp,--,--,,NC,--,,0.0,,
,A-Mark Precious Metals Inc,Neutral,--,,NC,--,Drop,2.0,Moderate Buy,Bullish
ATEN,A10 Networks Inc,Positive,--,SELL,NC,--,,1.7,Moderate Buy,Bullish
AADI,Aadi Bioscience Inc,Negative,--,,NC,--,,1.6,Moderate Buy,Bullish
AAON,"AAON, Inc.",Neutral,--,HOLD,Long,--,Hold,2.0,Moderate Buy,Bearish
AAPJ,Aap 101 Inc,--,--,,NC,--,,0.0,,
AIR,AAR Corp.,Neutral,--,HOLD,Neutral From Avoid,--,Sell,2.0,Moderate Buy,Bullish
AAN,Aaron's Company Inc,Neutral,--,BUY,NC,--,Drop,2.6,Moderate Buy,Bullish
ABQQ,Ab International Group Corp,--,--,,NC,--,,0.0,,
ABTO,AB&T Financial Corporation,--,--,,NC,--,,0.0,,
ABB,ABB Ltd (ADR),--,--,,Neutral From Long,--,Drop,2.4,N/A,Bullish
ABT,Abbott Laboratories,Neutral,Buy,BUY,Neutral From Avoid,Overweight,Buy,2.0,Moderate Buy,Bullish
ABBV,AbbVie Inc,Neutral,Buy,BUY,Avoid,Overweight,Hold,2.2,Moderate Buy,Bullish
ABCM,Abcam PLC (ADR),--,--,,NC,Equalweight,,2.0,Moderate Buy,N/A
ABCL,AbCellera Biologics Inc,Neutral,--,,NC,--,,1.8,Strong Buy,Bullish
ABCE,ABCO Energy Inc,--,--,,NC,--,,0.0,,
ABEO,Abeona Therapeutics Inc,Negative,--,,NC,--,Drop,2.3,Hold,N/A
ANF,Abercrombie & Fitch Co.,Neutral,Buy,SELL,Neutral From Avoid,Underweight,Hold,2.5,Hold,Bullish
ABGI,ABG Acquisition I Corp,--,--,,NC,--,,0.0,,
ABMD,"ABIOMED, Inc.",Neutral,--,HOLD,Long,Underweight,Hold,2.5,Hold,Bullish
ABM,"ABM Industries, Inc.",Positive,--,HOLD,Neutral From Avoid,--,Buy,1.7,Moderate Buy,Bullish
AXAS,Abraxas Petroleum Corp.,--,--,,NC,--,Drop,4.0,N/A,Bearish
FAX,abrdn Asia Pacific Income Fund,--,--,,Neutral From Avoid,--,,3.0,,
IAF,abrdn Australia Equity Fund,--,--,,NC,--,,0.0,,
AEF^F14,abrdn Emerging Markets Eqty Incm Fd Inc,--,--,,NC,--,,0.0,,
AGD,Abrdn Global Dynamic Dividend Fund,--,--,,NC,--,,0.0,,
FCO,abrdn Global Income Fund,--,--,,NC,--,,0.0,,
AWP,Abrdn Global Premier Properties Fund,--,--,,NC,--,,0.0,,
ACP,abrdn Income Credit Strategies Fund,--,--,,NC,--,,0.0,,
JEQ,abrdn Japan Equity Fund,--,--,,Neutral From Avoid,--,,0.0,,
ASGI,abrdn Standard Globl Infrstrctr Incm Fnd,--,--,,NC,--,,0.0,,
AOD,Abrdn Total Dynamic Dividend Fund,--,--,,NC,--,,0.0,,
ASPA,Abri SPAC I Inc,--,--,,NC,--,,0.0,,
AGRPY,Absa Group Ltd (ADR),--,--,,NC,--,,0.0,,
ABSI,Absci Corp,Negative,--,,NC,--,,2.6,Strong Buy,N/A
ABVC,ABVC Biopharma Inc,Negative,--,,NC,--,,2.0,Moderate Buy,N/A
ACIU,AC Immune SA,Negative,--,,NC,--,,1.3,Moderate Buy,Bullish
ACTG,Acacia Research Corp,Neutral,--,,Long,--,Sell,2.0,N/A,Bullish
ASO,Academy Sports and Outdoors Inc,Positive,--,BUY,NC,--,,1.5,Moderate Buy,Bullish
,Acadia Healthcare Company Inc,Positive,--,HOLD,Long,--,Hold,2.2,Moderate Buy,Bullish
ACAD,ACADIA Pharmaceuticals Inc.,Negative,--,,NC,Equalweight,Sell,2.7,Moderate Buy,Neutral
AKR,Acadia Realty Trust,Neutral,--,BUY,Neutral From Avoid,--,Sell,2.6,Moderate Buy,Neutral
CAVG,ACC Aviation Holdings Ltd,--,--,,NC,--,,0.0,,
ACEL,Accel Entertainment Inc,Positive,--,,NC,--,,2.2,Strong Buy,Bullish
AAQC,Accelerate Acquisition Corp,Neutral,--,,NC,--,,0.0,,
AXDX,Accelerate Diagnostics Inc,Negative,--,,Long,--,Sell,2.0,Hold,Bullish
