Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
FLWS,1-800-Flowers.Com Inc,-2.84%,6.00%,-4.68%,1.18%,-64.97%,1.27
VCXA,10X Capital Venture Acquisition II Corp,-0.13%,0.00%,-9.43%,-5.77%,0.00%,0
VCXB,10X Capital Venture Acquisition III Corp,0.00%,0.00%,-9.25%,-5.78%,0.00%,0.01
,10X Genomics Inc,10.71%,8.00%,-9.66%,10.65%,-69.98%,2.2
YI,111 Inc - ADR,-16.84%,-2.00%,-11.20%,33.44%,-61.99%,2.27
YQ,17 Education & Technology Group Inc-ADR,-1.05%,27.00%,10.23%,15.60%,-58.03%,1.13
TURN,180 Degree Capital Corp,4.71%,5.00%,-5.45%,-8.73%,-13.64%,0.17
ATNF,180 Life Sciences Corp,-9.49%,3.00%,-4.13%,-1.71%,-86.10%,0.82
EFSH,1847 Holdings LLC,2.13%,0.00%,-45.68%,-54.02%,-35.50%,
BCOW,1895 Bancorp of Wisconsin Inc,-1.10%,-1.00%,-12.34%,-9.39%,-1.27%,0.2
ONEM,1life Healthcare Inc,-0.53%,79.00%,58.35%,154.79%,-27.58%,2.63
FISB,1St Capital Bancorp,0.00%,-1.00%,0.00%,0.00%,0.00%,
FSGB,1st FSB of SC Inc,0.00%,0.00%,0.00%,0.00%,0.00%,
SRCE,1st Source Corporation,2.21%,12.00%,0.41%,2.66%,7.98%,0.41
DIBS,1Stdibs.Com Inc,-8.59%,16.00%,3.83%,7.28%,-61.10%,1.34
XXII,22nd Century Group Inc,-1.08%,1.00%,-13.48%,14.03%,-48.98%,1.46
ME^K10,23andMe Holding Co.,33.53%,61.00%,36.22%,82.80%,-45.90%,1.66
ADER,26 Capital Acquisition Corp,-0.10%,0.00%,-9.33%,-6.63%,7.67%,0.01
TSVT,2Seventy Bio Inc,11.96%,24.00%,7.09%,47.53%,0.00%,2
TWOU,2U Inc,-1.50%,-5.00%,-23.20%,1.74%,-75.62%,2.03
QFIN,360 DigiTech Inc,-2.49%,3.00%,-7.61%,8.53%,-28.29%,1.65
SCWO,374Water Inc,16.98%,62.00%,36.55%,7.31%,48.49%,
DDD,3D Systems Corporation,-4.29%,20.00%,10.24%,21.64%,-63.80%,1.82
DDDX,3DX Industries Inc,3.28%,45.00%,26.70%,18.00%,-25.49%,
MMM,3M Co,4.10%,15.00%,5.08%,-4.64%,-21.00%,0.58
FDMT,4D Molecular Therapeutics Inc,4.51%,19.00%,9.66%,7.03%,-58.88%,1.35
FVAM,5:01 Acquisition Corp,0.20%,0.00%,-9.34%,-5.68%,7.67%,0
FEAM,5E Advanced Materials Inc,1.23%,15.00%,6.51%,-24.36%,0.00%,0.47
SVNA,7 Acquisition Corp,0.20%,0.00%,-9.07%,-5.87%,0.00%,0
VII,7GC & Holdings Co Inc,0.41%,1.00%,-9.15%,-5.48%,7.88%,0.01
,808 Renewable Energy Corp,9.38%,-11.00%,-19.99%,-18.01%,-62.17%,
ETNB,89bio Inc,19.32%,22.00%,11.22%,82.59%,-75.52%,1.1
LAX,8i Acquisition 2 Corp,0.00%,1.00%,-9.25%,-5.77%,0.00%,0
EGHT,"8x8, Inc.",-6.77%,15.00%,0.27%,-37.49%,-77.70%,1.84
NMTR,9 Meters Biopharma Inc,9.44%,11.00%,7.54%,-30.91%,-73.96%,0.83
MASS,908 Devices Inc.,-18.82%,8.00%,-12.79%,34.61%,-34.41%,2.05
JFU,9F Inc - ADR,-7.43%,-19.00%,-27.25%,-17.28%,-55.78%,0.8
AOS,A O Smith Corp,0.36%,9.00%,0.40%,0.52%,-9.56%,0.9
,A P MOELLER MAERSK A S SHS B,-0.89%,26.00%,18.32%,0.88%,23.45%,
ASCA,A SPAC I Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.01
ASCB,A SPAC II Acquisition Corp,0.30%,0.00%,-9.52%,0.00%,0.00%,
,A-Mark Precious Metals Inc,8.49%,26.00%,12.82%,6.49%,52.76%,1.26
ATEN,A10 Networks Inc,-1.79%,10.00%,2.21%,-0.16%,23.18%,1.38
AADI,Aadi Bioscience Inc,2.66%,9.00%,-2.84%,12.13%,-51.73%,1.47
AAON,"AAON, Inc.",0.00%,16.00%,3.41%,14.66%,-7.49%,0.7
AAPJ,Aap 101 Inc,-7.57%,1.00%,-9.10%,-56.97%,-80.83%,
AIR,AAR Corp.,4.20%,12.00%,2.27%,-4.19%,42.47%,0.9
AAN,Aaron's Company Inc,8.74%,-2.00%,-12.87%,-29.94%,-45.87%,1.06
ABQQ,Ab International Group Corp,-17.86%,-28.00%,-53.85%,-60.91%,-90.09%,
ABTO,AB&T Financial Corporation,-6.95%,-30.00%,-37.43%,-17.58%,-36.11%,
ABB,ABB Ltd (ADR),2.49%,13.00%,3.54%,1.56%,-13.54%,0.91
ABT,Abbott Laboratories,0.60%,1.00%,-6.25%,-2.62%,-5.30%,0.84
ABBV,AbbVie Inc,-0.18%,-8.00%,-16.35%,-13.31%,29.35%,0.28
ABCM,Abcam PLC (ADR),-1.29%,11.00%,-1.92%,8.39%,-21.61%,0.99
ABCL,AbCellera Biologics Inc,21.49%,20.00%,6.41%,117.98%,-9.83%,1.34
ABCE,ABCO Energy Inc,28.44%,32.00%,19.26%,104.46%,-63.30%,
ABEO,Abeona Therapeutics Inc,3.74%,-13.00%,-25.62%,13.94%,-86.08%,1.08
ANF,Abercrombie & Fitch Co.,4.44%,13.00%,0.68%,-43.66%,-49.50%,1.33
ABGI,ABG Acquisition I Corp,0.10%,1.00%,-9.24%,-5.96%,6.79%,0
ABMD,"ABIOMED, Inc.",-2.69%,13.00%,3.09%,17.43%,-7.09%,1.55
ABM,"ABM Industries, Inc.",1.18%,7.00%,-3.59%,-3.97%,1.56%,0.81
