Symbol,Company Name,Industry,Prior Close,5 Day Chg,4 Week Chg,52 Week Chg,Mkt Cap
FLWS,1-800-Flowers.Com Inc,Other Specialty Retailers,10.52,-2.84%,6.00%,-66.00%,$286.817M
VCXA,10X Capital Venture Acquisition II Corp,Holding Companies,9.93,-0.13%,0.00%,0.00%,$205.104M
VCXB,10X Capital Venture Acquisition III Corp,Holding Companies,10.04,0.00%,0.00%,0.00%,$312.776M
,10X Genomics Inc,Healthcare Equipment & Supplies,48.32,10.71%,8.00%,-71.00%,$911.653M
YI,111 Inc - ADR,Software & IT Services,2.31,-16.84%,-2.00%,-60.00%,$218.394M
YQ,17 Education & Technology Group Inc-ADR,Miscellaneous Educational Service Providers,1.98,-1.05%,27.00%,-58.00%,$895.231M
TURN,180 Degree Capital Corp,Investment Banking & Investment Services,6.26,4.71%,5.00%,-18.00%,$65.114M
ATNF,180 Life Sciences Corp,Biotechnology & Medical Research,1.07,-9.49%,3.00%,-86.00%,$40.338M
EFSH,1847 Holdings LLC,Other Specialty Retailers,3.83,2.13%,0.00%,0.00%,$4.784M
BCOW,1895 Bancorp of Wisconsin Inc,Banking Services,10.04,-1.10%,-1.00%,-7.00%,$63.873M
ONEM,1life Healthcare Inc,Healthcare Providers & Services,17.02,-0.53%,79.00%,-31.00%,$3.322B
FISB,1St Capital Bancorp,Banking Services,12.37,0.00%,-1.00%,-9.00%,$68.072M
FSGB,1st FSB of SC Inc,Banking Services,14.99,0.00%,0.00%,7.00%,$15.170M
SRCE,1st Source Corporation,Banking Services,49.01,2.21%,12.00%,3.00%,$1.208B
DIBS,1Stdibs.Com Inc,Software & IT Services,7.00,-8.59%,16.00%,-50.00%,$266.469M
XXII,22nd Century Group Inc,Food & Tobacco,1.80,-1.08%,1.00%,0.00%,$386.613M
ME^K10,23andMe Holding Co.,Healthcare Providers & Services,4.69,33.53%,61.00%,-44.00%,$1.218B
ADER,26 Capital Acquisition Corp,Holding Companies,9.87,-0.10%,0.00%,2.00%,$271.425M
TSVT,2Seventy Bio Inc,Biotechnology & Medical Research,16.59,11.96%,24.00%,0.00%,$628.330M
TWOU,2U Inc,Software & IT Services,8.48,-1.50%,-5.00%,-76.00%,$657.073M
QFIN,360 DigiTech Inc,Banking Services,15.05,-2.49%,3.00%,-27.00%,$46.655M
SCWO,374Water Inc,"Machinery, Equipment & Components",3.30,16.98%,62.00%,0.00%,$418.047M
DDD,3D Systems Corporation,Electronic Equipment & Parts,12.12,-4.29%,20.00%,-61.00%,$1.579B
DDDX,3DX Industries Inc,"Machinery, Equipment & Components",0.05,3.28%,45.00%,-40.00%,$2.282M
MMM,3M Co,Consumer Goods Conglomerates,149.66,4.10%,15.00%,-26.00%,$85.247B
FDMT,4D Molecular Therapeutics Inc,Biotechnology & Medical Research,10.40,4.51%,19.00%,-62.00%,$335.920M
FVAM,5:01 Acquisition Corp,Holding Companies,9.95,0.20%,0.00%,2.00%,$85.780M
FEAM,5E Advanced Materials Inc,Metals & Mining,19.72,1.23%,15.00%,0.00%,$843.405M
