Symbol,Company Name,52 Week Chg,Vs. 13-Day EMA*,Vs. 50-Day EMA*,% Below 52 Wk High,% Above 52 Wk Low,Short Interest as % Float
BIMI,Bimi International Medical Inc,-89.00%,-6.29%,-17.85%,95.84%,38.75%,920.86%
JXN,Jackson Financial Inc,0.00%,12.07%,12.35%,32.37%,44.91%,9.99%
VSTO,Vista Outdoor Inc,-30.00%,4.20%,1.18%,42.82%,17.33%,9.99%
GLUE,Monte Rosa Therapeutics Inc,-73.00%,6.46%,2.99%,80.88%,43.97%,9.98%
CLB,Core Laboratories N.V.,-42.00%,0.00%,-14.29%,53.95%,8.49%,9.97%
WISH,ContextLogic Inc,-82.00%,1.48%,0.56%,83.68%,41.67%,9.96%
ATGE,Adtalem Global Education Inc,3.00%,-2.93%,2.13%,4.53%,102.51%,9.95%
LUNG,Pulmonx Corp,-37.00%,8.46%,16.36%,47.26%,73.93%,9.94%
REKR,Rekor Systems Inc,-73.00%,-6.39%,-19.09%,87.07%,23.33%,9.94%
PRTY,Party City Holdco Inc,-81.00%,6.15%,-6.31%,85.78%,25.96%,9.93%
TREX,Trex Company Inc,-47.00%,-1.93%,-2.28%,59.30%,16.37%,9.91%
M,Macy's Inc,-3.00%,7.83%,4.05%,51.78%,15.46%,9.90%
HRT,HireRight Holdings Corp,0.00%,9.38%,15.44%,7.86%,68.20%,9.89%
ARR,"ARMOUR Residential REIT, Inc.",-27.00%,-0.04%,2.88%,30.77%,38.96%,9.87%
BJRI,BJ's Restaurants Inc,-37.00%,8.56%,10.49%,46.25%,25.91%,9.85%
NLS,"Nautilus, Inc.",-82.00%,12.32%,9.89%,84.34%,34.15%,9.85%
TSP,Tusimple Holdings Inc,-69.00%,0.25%,2.99%,80.16%,66.61%,9.84%
NTLA,Intellia Therapeutics Inc,-58.00%,3.91%,10.66%,63.15%,79.45%,9.81%
NUVL,Nuvalent Inc,-20.00%,3.82%,12.78%,57.20%,146.40%,9.81%
FIVE,Five Below Inc,-38.00%,3.94%,6.68%,42.55%,24.81%,9.80%
MDRX,Allscripts Healthcare Solutions Inc,3.00%,5.04%,6.92%,24.30%,34.89%,9.79%
GIII,"G-III Apparel Group, Ltd.",-23.00%,5.27%,5.88%,33.83%,19.91%,9.78%
